,LASAR,MouseID,Ear (L/R),TumorID,Model CLID,Group#,Group Description,Response,Day Taken,Day,Area,Area Unit,Phenotype 1,Abundance 1,Ratio 1,Core 1
11110,17-0727 A,20191104 Cage-1 Mouse-1,L,1,CL587054,3,Combo,C.R.,2019-11-11,7,0.001,mm2,excluded,1550.1149,0.3330201561286919,1602.4407500000002
11111,17-0727 A,20191104 Cage-1 Mouse-1,L,1,CL587054,3,Combo,C.R.,2019-11-12,8,0.057055944,mm2,excluded,3506.4883,0.5597707619799164,3497.3065
11112,17-0727 A,20191104 Cage-1 Mouse-1,L,1,CL587054,3,Combo,C.R.,2019-11-13,9,0.032573298,mm2,uncertain,4590.62725,0.0,4521.881799999999
11113,17-0727 A,20191104 Cage-1 Mouse-1,L,1,CL587054,3,Combo,C.R.,2019-11-14,10,0.0,mm2,None,NaN,NaN,NaN
11114,17-0727 A,20191104 Cage-1 Mouse-1,L,1,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
11171,17-0727 A,20191104 Cage-1 Mouse-1,L,10,CL587054,3,Combo,C.R.,2019-11-12,8,0.474440825,mm2,excluded,2933.5387,0.03657531749139605,2400.9107999999997
11172,17-0727 A,20191104 Cage-1 Mouse-1,L,10,CL587054,3,Combo,C.R.,2019-11-13,9,0.6001830239999999,mm2,excluded,4514.8461,0.062467425872032994,4263.5765
11173,17-0727 A,20191104 Cage-1 Mouse-1,L,10,CL587054,3,Combo,C.R.,2019-11-14,10,0.8188931119999999,mm2,excluded,5356.2839,0.037788289259274244,4652.7652
11174,17-0727 A,20191104 Cage-1 Mouse-1,L,10,CL587054,3,Combo,C.R.,2019-11-15,11,1.029446555,mm2,uncertain,6201.4932,0.3325289286948604,6128.778
11175,17-0727 A,20191104 Cage-1 Mouse-1,L,10,CL587054,3,Combo,C.R.,2019-11-17,13,1.1879673929999999,mm2,excluded,3220.5899,0.13287539641660315,2732.0989
11170,17-0727 A,20191104 Cage-1 Mouse-1,L,10.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.26.1.2.3.4.5.6.7.8.9.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34,CL587054,3,Combo,C.R.,2019-11-11,7,0.001,mm2,uncertain,1730.2954,0.012827348340552191,1662.3083000000001
11176,17-0727 A,20191104 Cage-1 Mouse-1,L,10.16,CL587054,3,Combo,C.R.,2019-11-18,14,1.6192214759999999,mm2,excluded,3783.7335999999996,0.06501245845328853,3027.6572
11177,17-0727 A,20191104 Cage-1 Mouse-1,L,10.16,CL587054,3,Combo,C.R.,2019-11-19,15,1.536702215,mm2,excluded,5531.316699999999,0.15045526892513678,4320.2142
11178,17-0727 A,20191104 Cage-1 Mouse-1,L,10.16,CL587054,3,Combo,C.R.,2019-11-21,17,0.50325068,mm2,excluded,5007.1241,0.02489203078648436,4211.1005000000005
11179,17-0727 A,20191104 Cage-1 Mouse-1,L,10.16,CL587054,3,Combo,C.R.,2019-11-23,19,0.0,mm2,None,NaN,NaN,NaN
11180,17-0727 A,20191104 Cage-1 Mouse-1,L,10.16,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
11181,17-0727 A,20191104 Cage-1 Mouse-1,L,11,CL587054,3,Combo,C.R.,2019-11-11,7,0.001,mm2,inflamed,1693.7409,0.988568568766972,1723.9076
11182,17-0727 A,20191104 Cage-1 Mouse-1,L,11,CL587054,3,Combo,C.R.,2019-11-12,8,0.046774075,mm2,inflamed,3689.4465,0.7055772567389049,3757.1745499999997
11183,17-0727 A,20191104 Cage-1 Mouse-1,L,11,CL587054,3,Combo,C.R.,2019-11-13,9,0.17449679899999998,mm2,inflamed,4802.12525,0.770052353065877,4891.8326
11184,17-0727 A,20191104 Cage-1 Mouse-1,L,11,CL587054,3,Combo,C.R.,2019-11-14,10,0.163828685,mm2,uncertain,6183.6639,0.25479707823265035,6066.0842
11185,17-0727 A,20191104 Cage-1 Mouse-1,L,11,CL587054,3,Combo,C.R.,2019-11-15,11,0.21113750299999998,mm2,inflamed,7633.0474,0.3582371206060669,7505.709000000001
11186,17-0727 A,20191104 Cage-1 Mouse-1,L,11,CL587054,3,Combo,C.R.,2019-11-17,13,0.0,mm2,None,NaN,NaN,NaN
11187,17-0727 A,20191104 Cage-1 Mouse-1,L,11,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
11188,17-0727 A,20191104 Cage-1 Mouse-1,L,12,CL587054,3,Combo,C.R.,2019-11-11,7,0.001,mm2,excluded,1455.862,0.20274195521189542,1367.5814
11189,17-0727 A,20191104 Cage-1 Mouse-1,L,12,CL587054,3,Combo,C.R.,2019-11-12,8,0.015001415,mm2,inflamed,3314.6763,0.6518035664176302,3377.5433000000003
11190,17-0727 A,20191104 Cage-1 Mouse-1,L,12,CL587054,3,Combo,C.R.,2019-11-13,9,0.007837818,mm2,uncertain,5114.675,0.32630606324817235,5102.760850000001
11191,17-0727 A,20191104 Cage-1 Mouse-1,L,12,CL587054,3,Combo,C.R.,2019-11-14,10,0.0,mm2,None,NaN,NaN,NaN
11192,17-0727 A,20191104 Cage-1 Mouse-1,L,12,CL587054,3,Combo,C.R.,2019-12-07,33,0.0,mm2,None,NaN,NaN,NaN
11193,17-0727 A,20191104 Cage-1 Mouse-1,L,13,CL587054,3,Combo,C.R.,2019-11-11,7,0.001,mm2,excluded,1272.1457,0.5150310216549201,1259.1604
11194,17-0727 A,20191104 Cage-1 Mouse-1,L,13,CL587054,3,Combo,C.R.,2019-11-12,8,0.144704662,mm2,inflamed,2920.38265,0.7859954073826411,2968.4736000000003
